Time,36.97c,24.52c,0c,Time2,12.27c,4.09c,16.36c
80,3.54375,3.80625,4.33125,82,3.9375,2.23125,4.4625
80,3.54375,3.80625,4.4625,82,3.9375,2.3625,4.4625
81,3.54375,3.80625,4.33125,82,3.9375,2.23125,4.4625
81,3.54375,3.80625,4.4625,83,3.9375,2.3625,4.4625
81,3.54375,3.80625,4.4625,83,3.9375,2.49375,4.4625
82,3.54375,3.80625,4.4625,83,3.9375,2.625,4.4625
82,3.54375,3.80625,4.4625,83,3.9375,2.49375,4.4625
82,3.54375,3.9375,4.4625,84,3.9375,2.49375,4.4625
82,3.54375,3.80625,4.4625,84,3.9375,2.625,4.4625
83,3.54375,3.80625,4.4625,84,3.9375,2.49375,4.4625
83,3.54375,3.80625,4.4625,85,3.9375,2.625,4.4625
83,3.54375,3.80625,4.33125,85,3.9375,2.49375,4.4625
84,3.54375,3.80625,4.4625,85,3.9375,2.49375,4.4625
84,3.54375,3.80625,4.4625,85,3.9375,2.75625,4.4625
84,3.54375,3.80625,4.4625,86,3.9375,2.49375,4.4625
