Time,60 F,65 F,70 F,Time,68 F
72.00,2.8875,3.94,4.07,69,4.33125
73.00,2.8875,3.94,4.20,69,4.4625
73.00,2.8875,3.81,4.20,69,4.4625
73.00,3.01875,3.68,4.07,69,4.33125
73.00,3.01875,3.81,4.20,70,4.4625
73.00,3.01875,3.94,4.07,70,4.33125
73.00,2.8875,3.81,4.20,70,4.4625
74.00,3.01875,3.81,4.07,70,4.33125
74.00,3.01875,3.68,4.07,70,4.4625
74.00,3.01875,3.81,4.07,71,4.33125
74.00,3.01875,3.94,4.07,71,4.4625
74.00,3.01875,3.81,4.20,71,4.33125
74.00,3.01875,3.81,4.07,71,4.4625
74.00,3.01875,3.94,4.07,71,4.33125
74.00,3.15,3.94,4.07,71,4.33125
75.00,3.28125,3.81,4.20,71,4.4625
75.00,3.28125,3.68,4.07,72,4.33125
75.00,3.28125,3.68,4.20,72,4.4625
75.00,3.28125,3.81,4.20,72,4.33125
75.00,3.28125,3.68,4.07,72,4.4625
75.00,3.28125,3.81,4.20,72,4.33125
76.00,3.4125,3.68,4.07,72,4.4625
76.00,3.4125,3.81,4.20,72,4.33125
76.00,3.4125,3.81,4.20,73,4.4625
76.00,3.4125,3.81,4.20,73,4.33125
77.00,3.4125,3.68,4.20,73,4.33125
77.00,3.4125,3.68,4.20,73,4.33125
77.00,3.4125,3.81,4.20,74,4.33125
77.00,3.4125,3.68,4.20,74,4.33125
77.00,3.4125,3.68,4.07,74,4.33125
78.00,3.4125,3.81,4.20,74,4.33125
78.00,3.4125,3.68,4.20,74,4.4625
78.00,3.4125,3.81,4.07,74,4.33125
78.00,3.4125,3.94,4.20,74,4.33125
78.00,3.54375,3.81,4.20,75,4.33125
78.00,3.4125,3.81,4.20,75,4.4625
79.00,3.54375,3.94,4.20,75,4.33125
79.00,3.54375,3.81,4.20,75,4.33125
79.00,3.54375,3.81,4.20,76,4.4625
79.00,3.54375,3.94,4.20,76,4.33125
80.00,3.4125,3.81,4.20,76,4.4625
80.00,3.54375,3.81,4.20,76,4.33125
80.00,3.54375,3.94,4.20,76,4.4625
80.00,3.54375,3.94,4.20,77,4.4625
80.00,3.54375,3.94,4.20,77,4.33125
81.00,3.54375,3.94,4.20,77,4.4625
81.00,3.54375,3.94,4.20,78,4.4625
81.00,3.675,3.81,4.20,78,4.4625
81.00,3.675,3.81,4.20,78,4.33125
81.00,3.675,3.94,4.20,78,4.4625
82.00,3.675,3.94,4.20,79,4.33125
82.00,3.675,3.81,4.20,79,4.4625
82.00,3.675,3.94,4.20,79,4.4625
82.00,3.675,3.81,4.20,79,4.33125
